Continent,Region/Country,Product,Variable,Year,Unit,Quantity
Europa,Alemania,Vino,Producción,2024,1000 hl, 8 104
América,Argentina,Vino,Producción,2024,1000 hl, 10 869
Oceanía,Australia,Vino,Producción,2024,1000 hl, 10 152
Europa,Austria,Vino,Producción,2024,1000 hl, 2 155
América,Brasil,Vino,Producción,2024,1000 hl, 2 690
Europa,Bulgaria,Vino,Producción,2024,1000 hl,  690
América,Chile,Vino,Producción,2024,1000 hl, 9 340
Europa,Chipre,Vino,Producción,2024,1000 hl,  63
Europa,Croacia,Vino,Producción,2024,1000 hl,  458
Europa,Eslovaquia,Vino,Producción,2024,1000 hl,  315
Europa,Eslovenia,Vino,Producción,2024,1000 hl,  512
Europa,España,Vino,Producción,2024,1000 hl, 33 603
América,Estados Unidos,Vino,Producción,2024,1000 hl, 23 559
Europa,Francia,Vino,Producción,2024,1000 hl, 36 910
Asia,Georgia,Vino,Producción,2024,1000 hl, 2 362
Europa,Grecia,Vino,Producción,2024,1000 hl, 1 379
Europa,Hungría,Vino,Producción,2024,1000 hl, 2 959
Europa,Italia,Vino,Producción,2024,1000 hl, 41 000
Europa,Luxemburgo,Vino,Producción,2024,1000 hl,  77
Europa,Malta,Vino,Producción,2024,1000 hl,  10
Europa,Moldavia,Vino,Producción,2024,1000 hl, 1 487
Oceanía,Nueva Zelanda,Vino,Producción,2024,1000 hl, 2 844
Europa,Portugal,Vino,Producción,2024,1000 hl, 6 947
Europa,República Checa,Vino,Producción,2024,1000 hl,  343
Europa,Rumanía,Vino,Producción,2024,1000 hl, 3 683
Europa,Rusia,Vino,Producción,2024,1000 hl, 4 735
Europa,Serbia,Vino,Producción,2024,1000 hl,  412
África,Sudáfrica,Vino,Producción,2024,1000 hl, 8 839
Europa,Suiza,Vino,Producción,2024,1000 hl,  805
América,Uruguay,Vino,Producción,2024,1000 hl,  675
